Page Name	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	2021-04	2021-05	2021-06	2021-07	2021-08	2021-09	2021-10	2021-11	2021-12	2022-01	2022-02	2022-03	2022-04	2022-05	2022-06	2022-07	2022-08	2022-09	2022-10	2022-11	2022-12	2023-01	2023-02	2023-03	2023-04	2023-05	2023-06	2023-07	2023-08	2023-09	2023-10	2023-11	2023-12	2024-01	2024-02	2024-03	2024-04	2024-05	2024-06	2024-07	2024-08	2024-09	2024-10	2024-11	2024-12	2025-01	2025-02	2025-03	2025-04	2025-05	2025-06	2025-07	2025-08	2025-09
eJournals & eBooks	536	541	461	503	509	538	733	641	533	544	613	649	558	529	531	380	534	600	525	598	493	434	473	523	511	496	461	423	601	555	568	457	474	530	479	592	478	510	456	331	451	474	521	467	476	393	486	436	483	476	387	404	684	569	569	550	535	386	559	489	316
Subject Portals	138	110	101	101	102	123	127	134	104	106	169	138	129	136	110	58	98	92	152	127	173	128	121	201	161	135	152	79	136	179	177	83	91	113	170	169	192	119	90	83	105	85	87	74	84	96	119	109	128	107	97	73	152	113	121	111	111	65	102	93	54
Search Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	13	8	28	15	23	17	22	23	27	30	38	40	39	37	30	25	18	24	33	18	27	15	38	24	45	33	34	45	44	31	38	35	19	31	59	48	38	41	29	22	31	25	59	28	25	19	42	35	42	27	21	34	58	46	48	27	41	16	28	25	24
Offsite Access	174	141	67	129	106	68	107	95	89	60	107	102	120	90	114	59	103	84	67	72	61	48	68	111	133	79	96	70	86	81	106	72	104	90	98	121	116	80	100	74	86	68	84	72	81	60	87	114	87	87	85	63	152	98	81	49	62	39	98	57	45
Local Library Contact	47	53	29	42	30	52	63	45	48	46	50	52	42	52	50	29	33	29	28	29	33	37	40	36	67	46	37	34	47	32	38	20	33	46	57	40	43	44	49	29	32	29	36	29	35	28	45	30	31	22	33	24	72	29	42	26	26	12	31	32	10
Library Catalogs	49	45	40	43	51	51	58	49	54	43	76	57	62	51	48	34	41	43	26	49	53	42	41	44	60	35	33	42	49	42	53	21	39	35	54	50	51	65	43	26	42	61	61	35	54	47	55	50	56	53	33	34	71	66	55	48	44	29	41	48	31
Home	6807	7262	6016	6278	6829	6859	8814	7935	7421	7264	7560	7461	7225	7181	7314	6223	6497	6644	7412	7234	6755	6379	6257	7257	6743	6541	6612	6154	7151	6882	7672	6484	6730	6212	5461	6465	6263	6242	5855	5093	5991	5754	6256	6080	6060	5021	5991	5665	6074	6271	5495	5397	8087	6468	6043	5836	5261	4607	6287	4743	3191
"Grants, Stats & Copyright"	7	13	9	2	1	5	6	7	1	5	3	3	10	4	3	2	2	2	2	3	0	0	3	0	2	4	5	5	5	3	6	4	8	1	11	11	12	5	2	5	5	6	7	11	4	3	10	12	2	3	19	24	22	7	8	3	7	4	6	2	9
Education	8	16	19	22	27	31	24	21	24	42	27	22	33	30	21	16	19	15	16	16	16	36	19	19	29	17	19	16	60	21	25	17	15	10	41	26	31	19	12	15	22	28	35	12	31	20	36	30	26	15	18	24	53	25	38	39	31	12	22	44	66
Databases	2049	2101	1675	1742	1812	1758	2233	2105	1916	1836	2079	2000	1973	2043	2151	1612	1907	1993	2123	1883	1852	1624	1730	2020	1944	1859	1962	1707	1995	1927	2125	1915	1899	1976	1695	2340	2329	2188	1929	1633	1822	1781	1807	1740	1759	1475	1749	1491	1787	1838	1546	1481	2207	1705	1646	1693	1624	1510	1953	1772	1160
Browzine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ask a Librarian	68	70	54	93	75	78	112	95	95	86	103	100	106	110	82	76	92	78	83	104	98	68	67	73	80	70	77	71	74	61	71	43	49	93	70	87	78	104	62	51	49	47	62	59	65	61	102	48	86	69	78	50	146	83	76	77	90	49	96	79	60
About Us	11	6	6	5	2	5	7	9	3	5	12	8	1	3	10	3	7	13	2	5	4	5	11	10	14	33	16	10	6	10	4	7	4	14	14	14	9	11	12	2	7	6	7	9	6	6	12	4	9	10	6	8	18	13	3	2	6	2	9	5	5
