year,month_num,month_name,visits
2020,9,Sep,58.5
2020,10,Oct,61.5
2020,11,Nov,47.0
2020,12,Dec,68.0
2021,1,Jan,63.0
2021,2,Feb,60.0
2021,3,Mar,85.0
2021,4,Apr,72.0
2021,5,May,71.5
2021,6,Jun,53.0
2021,7,Jul,89.5
2021,8,Aug,78.5
2021,9,Sep,84.0
2021,10,Oct,71.0
2021,11,Nov,66.0
2021,12,Dec,46.0
2022,1,Jan,66.5
2022,2,Feb,60.5
2022,3,Mar,50.0
2022,4,Apr,60.5
2022,5,May,61.0
2022,6,Jun,48.0
2022,7,Jul,54.0
2022,8,Aug,73.0
2022,9,Sep,73.5
2022,10,Oct,58.0
2022,11,Nov,57.0
2022,12,Dec,57.5
2023,1,Jan,67.0
2023,2,Feb,51.5
2023,3,Mar,62.0
2023,4,Apr,39.0
2023,5,May,44.0
2023,6,Jun,68.0
2023,7,Jul,64.5
2023,8,Aug,68.5
2023,9,Sep,64.5
2023,10,Oct,72.5
2023,11,Nov,55.5
2023,12,Dec,40.0
2024,1,Jan,45.5
2024,2,Feb,54.0
2024,3,Mar,61.5
2024,4,Apr,47.0
2024,5,May,59.5
2024,6,Jun,53.5
2024,7,Jul,71.0
2024,8,Aug,49.0
2024,9,Sep,71.0
2024,10,Oct,61.0
2024,11,Nov,55.5
2024,12,Dec,42.0
2025,1,Jan,109.0
2025,2,Feb,74.5
2025,3,Mar,65.5
2025,4,Apr,48.5
2025,5,May,53.0
2025,6,Jun,34.0
2025,7,Jul,68.5
2025,8,Aug,52.5
2025,9,Sep,49.5
