year,month_num,month_name,visits
2020,9,Sep,9907
2020,10,Oct,10366
2020,11,Nov,8505
2020,12,Dec,8975
2021,1,Jan,9567
2021,2,Feb,9585
2021,3,Mar,12306
2021,4,Apr,11159
2021,5,May,10315
2021,6,Jun,10067
2021,7,Jul,10837
2021,8,Aug,10632
2021,9,Sep,10298
2021,10,Oct,10266
2021,11,Nov,10464
2021,12,Dec,8517
2022,1,Jan,9351
2022,2,Feb,9617
2022,3,Mar,10469
2022,4,Apr,10138
2022,5,May,9565
2022,6,Jun,8816
2022,7,Jul,8868
2022,8,Aug,10318
2022,9,Sep,9789
2022,10,Oct,9348
2022,11,Nov,9504
2022,12,Dec,8656
2023,1,Jan,10254
2023,2,Feb,9824
2023,3,Mar,10883
2023,4,Apr,9158
2023,5,May,9465
2023,6,Jun,9151
2023,7,Jul,8209
2023,8,Aug,9963
2023,9,Sep,9640
2023,10,Oct,9428
2023,11,Nov,8639
2023,12,Dec,7364
2024,1,Jan,8643
2024,2,Feb,8364
2024,3,Mar,9022
2024,4,Apr,8616
2024,5,May,8680
2024,6,Jun,7229
2024,7,Jul,8734
2024,8,Aug,8024
2024,9,Sep,8811
2024,10,Oct,8978
2024,11,Nov,7818
2024,12,Dec,7616
2025,1,Jan,11722
2025,2,Feb,9222
2025,3,Mar,8730
2025,4,Apr,8461
2025,5,May,7838
2025,6,Jun,6731
2025,7,Jul,9232
2025,8,Aug,7389
2025,9,Sep,4971
