"Page ID","Page Name",2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,Total
2145945,"About Us",12,16,10,12,7,14,11,10,12,14,17,7,11,13,5,1,8,9,12,16,17,14,14,14,32,29,5,3,13,15,21,22,18,8,10,10,15,11,3,5,9,8,13,10,15,5,3,4,5,14,8,6,13,5,11,5,6,7,4,8,11,6,6,5,2,5,7,9,3,5,12,8,1,3,10,3,7,13,2,5,4,5,11,10,14,33,16,10,6,10,4,7,4,14,14,14,9,11,12,2,7,6,7,9,6,6,12,4,9,10,6,8,18,13,3,2,6,2,9,5,5,1141
1511938,"Ask a Librarian",100,161,120,145,145,138,133,160,128,128,147,139,171,226,121,84,152,117,146,106,128,127,116,142,141,128,137,105,137,97,125,103,109,86,121,161,115,135,118,90,122,121,123,110,103,91,97,139,83,109,103,86,110,94,96,61,56,48,91,69,68,70,54,93,75,78,112,95,95,86,103,100,106,110,82,76,92,78,83,104,98,68,67,73,80,70,77,71,74,61,71,43,49,93,70,87,78,104,62,51,49,47,62,59,65,61,102,48,86,69,78,50,146,83,76,77,90,49,96,79,64,11843
5536503,Browzine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511941,Databases,943,1573,2969,2999,3046,3105,3306,2742,2732,2910,2661,2864,2949,2889,2630,2375,2529,2377,3111,2598,2670,2501,2561,2973,2723,2973,2313,1997,2388,2096,2398,2186,2253,2199,2287,2774,2837,2797,2582,2385,2970,2660,2973,2852,2966,2640,2786,2715,2655,2719,2480,2319,2767,2553,2261,1770,1503,1574,1754,1724,2049,2101,1675,1742,1812,1758,2233,2105,1916,1836,2079,2000,1973,2043,2151,1612,1907,1993,2123,1883,1852,1624,1730,2020,1944,1859,1962,1707,1995,1927,2125,1915,1899,1976,1695,2340,2329,2188,1929,1633,1822,1781,1807,1740,1759,1475,1749,1491,1787,1838,1546,1481,2207,1705,1646,1693,1624,1510,1953,1772,1236,265104
2130414,Education,42,75,57,53,51,78,91,67,66,79,79,88,53,43,34,68,34,52,60,46,61,37,48,76,59,68,45,48,40,46,62,35,51,54,53,68,44,45,50,42,29,47,27,35,23,24,23,42,23,26,28,25,33,21,7,30,12,49,44,23,8,16,19,22,27,31,24,21,24,42,27,22,33,30,21,16,19,15,16,16,16,36,19,19,29,17,19,16,60,21,25,17,15,10,41,26,31,19,12,15,22,28,35,12,31,20,36,30,26,15,18,24,53,25,38,39,31,12,22,44,67,4359
2130419,"Grants, Stats & Copyright",5,8,2,4,9,10,21,8,8,10,11,10,15,9,8,7,4,9,9,8,18,29,20,23,19,18,18,6,10,11,18,5,6,12,11,12,8,9,5,3,8,4,4,4,3,4,14,13,8,19,6,5,3,6,5,3,2,5,11,0,7,13,9,2,1,5,6,7,1,5,3,3,10,4,3,2,2,2,2,3,0,0,3,0,2,4,5,5,5,3,6,4,8,1,11,11,12,5,2,5,5,6,7,11,4,3,10,12,2,3,19,24,22,7,8,3,7,4,6,2,9,919
1511911,Home,4575,8944,7605,7625,7896,8619,9260,9100,9391,9489,8420,9136,8837,8857,8394,7644,8641,8176,10392,8947,9479,8876,8491,9610,8967,9893,9608,8567,10601,9826,10585,10107,9935,9297,8950,9985,9085,9497,8752,7907,9695,8573,9339,9402,9616,8470,8679,9121,8420,9024,7586,7309,9183,8406,8084,7134,5985,6076,6488,6017,6807,7262,6016,6278,6829,6859,8814,7935,7421,7264,7560,7461,7225,7181,7314,6223,6497,6644,7412,7234,6755,6379,6257,7257,6743,6541,6612,6154,7151,6882,7672,6484,6730,6212,5461,6465,6263,6242,5855,5093,5991,5754,6256,6080,6060,5021,5991,5665,6074,6271,5495,5397,8087,6468,6043,5836,5261,4607,6287,4743,3409,912813
1511944,"Library Catalogs",82,140,121,127,127,112,122,108,145,122,124,111,110,80,70,78,100,92,138,98,122,109,110,109,140,130,129,97,92,68,102,53,176,89,197,111,82,75,76,54,63,55,62,61,72,48,69,72,49,48,41,40,46,54,38,47,36,61,44,30,49,45,40,43,51,51,58,49,54,43,76,57,62,51,48,34,41,43,26,49,53,42,41,44,60,35,33,42,49,42,53,21,39,35,54,50,51,65,43,26,42,61,61,35,54,47,55,50,56,53,33,34,71,66,55,48,44,29,41,48,35,8230
2130423,"Local Library Contact",55,79,50,59,55,88,76,66,55,71,66,58,56,80,41,40,69,66,80,56,72,65,56,82,69,64,72,30,63,74,86,62,63,62,62,81,62,54,40,52,61,40,42,35,40,63,48,62,51,48,35,35,63,53,65,41,21,37,46,41,47,53,29,42,30,52,63,45,48,46,50,52,42,52,50,29,33,29,28,29,33,37,40,36,67,46,37,34,47,32,38,20,33,46,57,40,43,44,49,29,32,29,36,29,35,28,45,30,31,22,33,24,72,29,42,26,26,12,31,32,13,5778
1511946,"Offsite Access",128,202,228,234,208,234,219,154,146,168,458,180,170,223,186,124,186,239,218,200,189,223,202,254,196,194,189,100,190,225,230,160,192,178,209,219,240,168,142,134,166,140,169,189,124,128,148,208,115,147,112,77,112,118,197,193,98,66,74,83,174,141,67,129,106,68,107,95,89,60,107,102,120,90,114,59,103,84,67,72,61,48,68,111,133,79,96,70,86,81,106,72,104,90,98,121,116,80,100,74,86,68,84,72,81,60,87,114,87,87,85,63,152,98,81,49,62,39,98,57,45,16006
